role,name,poli,State,twitterName,name,userNumber,followers,,,Important Comments,,
representative,Rep. Clay Higgins,R,LA-3,@RepClayHiggins,RepClayHiggins,8.43637E+17,4915,,,,,
representative,Rep. Mike Johnson,R,LA-4,@RepMikeJohnson,RepMikeJohnson,8.2728E+17,3620,,,,,
representative,Rep. Ralph Abraham,R,LA-5,@RepAbraham,RepAbraham,2962891515,13982,,,,,
representative,Rep. Garret Graves,R,LA-6,@RepGarretGraves,RepGarretGraves,2951574214,8872,,,,,
representative,Rep. Richard Neal,D,MA-1,@RepRichardNeal,RepRichardNeal,442824717,15498,,,,,
representative,Rep. James McGovern,D,MA-2,@RepMcGovern,RepMcGovern,242426145,37684,,,,,
representative,Rep. Niki Tsongas,D,MA-3,@NikiInTheHouse,nikiinthehouse,242892689,21897,,,,,
representative,Rep. Joseph Kennedy,D,MA-4,@RepJoeKennedy,RepJoeKennedy,1055907624,697443,,,,,
representative,Rep. Katherine Clark,D,MA-5,@RepKClark,RepKClark,2293131060,56314,,,,,
representative,Rep. Seth Moulton,D,MA-6,@teammoulton,teammoulton,3091316093,7594,,,,,
representative,Rep. Michael Capuano,D,MA-7,@RepMikeCapuano,RepMikeCapuano,7.47806E+17,10425,,,,,
representative,Rep. Stephen Lynch,D,MA-8,@RepStephenLynch,RepStephenLynch,310310133,18897,,,,,
representative,Rep. William Keating,D,MA-9,@USRepKeating,USRepKeating,232992031,13795,,,,,
representative,Rep. Andy Harris,R,MD-1,@RepAndyHarrisMD,RepAndyHarrisMD,960962340,13894,,,,,
representative,Rep. C. Ruppersberger,D,MD-2,@Call_Me_Dutch,Call_Me_Dutch,305620929,14160,,,,,
representative,Rep. John Sarbanes,D,MD-3,@RepSarbanes,RepSarbanes,364415553,18171,,,,,
representative,Rep. Anthony Brown,D,MD-4,@housedemocrats,HouseDemocrats,43963249,697316,,,,,
representative,Rep. Steny Hoyer,D,MD-5,@WhipHoyer,WhipHoyer,22012091,104691,,,,,
representative,Rep. John Delaney,D,MD-6,@RepJohnDelaney,RepJohnDelaney,937723303,19198,,,,,
